"Module","Gene","Connectivity"
"turquoise","PPP1R12A",362.440385480637
"turquoise","AVL9",362.081026985765
"turquoise","NUP153",362.008903299413
"turquoise","MAP3K5",360.761837579515
"turquoise","CHUK",360.240857800672
"turquoise","KIDINS220",359.57095447979
"turquoise","LAMP2",358.735867786025
"turquoise","EVI2B",358.002775478002
"red","NLRC3",43.2569830756195
"red","RASGRP1",42.5765097748138
"red","CD96",39.4751176376282
"red","ARL4C",38.8631198957579
"red","ETS1",38.6894028169354
"red","ITK",38.4359088142519
"red","BCL11B",37.9526878170163
"red","CD3G",37.4303704326701
"red","IL7R",36.7383498833589
"red","PRKACB",35.6995079343675
"red","PRKCQ",35.6894822513636
"red","DYRK2",34.8429817526961
"red","TRAF5",34.8081268827291
"red","SAMD3",34.5324186663181
"red","NFATC2",34.4245391095798
"red","FYN",34.1948842879865
"red","PYHIN1",33.9392267806967
"red","LBH",33.9246866640914
"red","KLRK1",33.4532618712906
"red","SH2D1A",33.4067809838974
"red","LY9",33.2417612909754
"red","KLF12",33.0703874121257
"red","IKZF3",32.7550754110563
"red","LPIN1",31.9358607989609
"red","CAMK4",31.4716084355548
"red","NCL",31.3735631000945
"red","TC2N",31.3366822433356
"red","SLAMF6",31.1358498505878
"red","GPR174",30.9089390349353
"red","ATP8B2",30.5173671721102
"magenta","NCAPG",40.0994781123988
"magenta","CDK1",40.0771387636064
"magenta","KIF2C",39.3233038857467
"magenta","TPX2",39.1286356076049
"magenta","CCNA2",39.0646772015759
"magenta","CCNB2",38.6102752405639
"magenta","HJURP",38.3044527525764
"magenta","CDCA5",37.5312026039807
"magenta","DLGAP5",37.3725676513629
"magenta","CCNB1",36.8151187315127
"magenta","KIF11",36.7822362917744
"magenta","SPAG5",36.2763577818699
"magenta","CENPA",35.6659985423318
"magenta","ZWINT",35.3454158953432
"magenta","MELK",35.234927473577
"magenta","CDC45",35.0482238937659
"magenta","NUSAP1",34.9344158676324
"magenta","KIFC1",34.7478709701791
"magenta","TYMS",34.7142867422798
"magenta","PCLAF",34.5178382611821
"magenta","BIRC5",34.205219618101
"magenta","FOXM1",34.0924107597629
"magenta","RAD51",33.3274837201515
"magenta","CHEK1",33.2792548507518
"magenta","RRM2",32.6987056747756
"magenta","CDC20",32.4623201120502
"magenta","CDCA3",31.9367768074466
"magenta","DEPDC1B",31.9175163404898
"magenta","HMMR",31.5733834788836
"magenta","NUF2",31.3832018527683
"salmon","NAGA",10.2064153672835
"salmon","CD86",9.915990149663
"salmon","CSF1R",9.89624866608581
"salmon","CD33",9.69736030988991
"salmon","TTYH2",9.65656911073834
"salmon","DPYSL2",9.15737253004644
"salmon","MYCL",8.71408999811273
"salmon","RASSF4",8.57401270489154
