"Gene","Module"
"215448_at","blue"
"210510_s_at","grey"
"219279_at","turquoise"
"214130_s_at","grey"
"210153_s_at","turquoise"
"240971_x_at","blue"
"203785_s_at","turquoise"
"209922_at","turquoise"
"204130_at","blue"
"1561055_at","grey"
"232165_at","grey"
"220994_s_at","turquoise"
"219140_s_at","turquoise"
"217821_s_at","turquoise"
"219181_at","grey"
"216050_at","brown"
"231644_at","blue"
"243124_at","grey"
"1568604_a_at","turquoise"
"201341_at","turquoise"
"238018_at","grey"
"1555679_a_at","turquoise"
"206343_s_at","turquoise"
"229839_at","grey"
"220551_at","turquoise"
"205286_at","blue"
"211719_x_at","brown"
"203476_at","grey"
"228062_at","turquoise"
"210550_s_at","turquoise"
"205907_s_at","blue"
"204940_at","grey"
"229611_at","turquoise"
"230053_at","turquoise"
"209381_x_at","grey"
"230312_at","grey"
"212063_at","grey"
"244473_at","blue"
"206375_s_at","turquoise"
"220301_at","grey"
"218944_at","grey"
"200628_s_at","turquoise"
"239591_at","grey"
"241772_at","grey"
"239477_at","grey"
"1554140_at","grey"
"208650_s_at","grey"
"239367_at","turquoise"
"201970_s_at","turquoise"
"205540_s_at","turquoise"
"234105_at","blue"
"230776_at","grey"
"206637_at","blue"
"244118_at","turquoise"
"232478_at","grey"
"213763_at","blue"
"233180_at","blue"
"207035_at","turquoise"
"220260_at","turquoise"
"203999_at","turquoise"
"204384_at","turquoise"
"210425_x_at","turquoise"
"229259_at","blue"
"244521_at","turquoise"
"225833_at","turquoise"
"206777_s_at","grey"
"208696_at","turquoise"
"235201_at","grey"
"205902_at","blue"
"220679_s_at","turquoise"
"1563259_at","brown"
"217785_s_at","turquoise"
"205791_x_at","turquoise"
"204339_s_at","turquoise"
"236718_at","blue"
"213550_s_at","turquoise"
"230668_at","grey"
"208893_s_at","turquoise"
"232541_at","blue"
"1560498_at","grey"
"217831_s_at","turquoise"
"234563_at","blue"
"232231_at","grey"
"232925_at","blue"
"226950_at","blue"
"236918_s_at","turquoise"
"222968_at","turquoise"
"226319_s_at","grey"
"217232_x_at","grey"
"243526_at","grey"
"206678_at","turquoise"
"210656_at","turquoise"
"235743_at","blue"
"223542_at","turquoise"
"209458_x_at","grey"
"235836_at","turquoise"
"219584_at","blue"
"1557835_at","blue"
"235169_at","grey"
"220183_s_at","turquoise"
"1557169_x_at","grey"
"208682_s_at","turquoise"
"236996_at","grey"
"211125_x_at","turquoise"
"238274_at","brown"
"1552390_a_at","turquoise"
"211699_x_at","grey"
"1553410_a_at","turquoise"
"1553357_at","turquoise"
"210221_at","grey"
"203766_s_at","grey"
"223596_at","turquoise"
"209196_at","turquoise"
"244702_at","blue"
"212563_at","turquoise"
"212338_at","grey"
"206803_at","turquoise"
"1560763_at","blue"
"228438_at","turquoise"
"233877_at","blue"
"205795_at","turquoise"
"222848_at","grey"
"221437_s_at","turquoise"
"202771_at","brown"
"1560372_at","grey"
"215229_at","turquoise"
"217755_at","turquoise"
"219896_at","turquoise"
"208965_s_at","blue"
"224410_s_at","turquoise"
"204897_at","grey"
"237232_at","brown"
"201645_at","grey"
"212998_x_at","grey"
"238877_at","turquoise"
"216109_at","brown"
"243533_x_at","blue"
"212999_x_at","turquoise"
"242093_at","turquoise"
"206101_at","blue"
"240304_s_at","grey"
"213696_s_at","turquoise"
"231577_s_at","blue"
"222831_at","grey"
"207317_s_at","grey"
"210051_at","blue"
"1558448_a_at","blue"
"1555498_at","brown"
"215211_at","turquoise"
"207049_at","turquoise"
"1563573_at","grey"
"233279_at","blue"
"223318_s_at","turquoise"
"217028_at","blue"
"230656_s_at","turquoise"
"1565834_a_at","blue"
"1555814_a_at","turquoise"
"1556967_at","grey"
"231324_at","blue"
"228708_at","turquoise"
"227006_at","grey"
"215145_s_at","turquoise"
"222378_at","blue"
"207079_s_at","turquoise"
"1556542_a_at","blue"
"217221_x_at","turquoise"
"243469_at","blue"
"200750_s_at","turquoise"
"1560259_at","blue"
"1554912_at","brown"
"220276_at","grey"
"239580_at","grey"
"204545_at","turquoise"
"228152_s_at","brown"
"219878_s_at","turquoise"
"1556366_s_at","turquoise"
"231876_at","blue"
"236006_s_at","grey"
"1570506_at","blue"
"207232_s_at","turquoise"
"1557889_at","blue"
"1570253_a_at","turquoise"
"240509_s_at","turquoise"
"243964_at","blue"
"234163_at","blue"
"223916_s_at","brown"
"239010_at","turquoise"
"201744_s_at","brown"
"232882_at","blue"
"232762_at","grey"
"206243_at","grey"
"227725_at","blue"
"205439_at","turquoise"
"221598_s_at","turquoise"
"226856_at","blue"
"231655_x_at","grey"
"232776_at","grey"
"220914_at","turquoise"
"226103_at","grey"
"241585_at","blue"
"1553183_at","grey"
"207276_at","grey"
"1564706_s_at","turquoise"
"1560999_a_at","grey"
"1553441_at","grey"
"236017_at","grey"
"238725_at","grey"
"240789_at","brown"
"208725_at","turquoise"
"244482_at","grey"
"235746_s_at","grey"
"1556927_at","turquoise"
"227183_at","blue"
"207302_at","turquoise"
"206548_at","blue"
"204221_x_at","turquoise"
"1559965_at","grey"
"241024_at","turquoise"
"228378_at","turquoise"
"220014_at","turquoise"
"243554_at","blue"
"217786_at","turquoise"
"215043_s_at","grey"
"207836_s_at","blue"
"220711_at","blue"
"240392_at","blue"
"223278_at","blue"
"241613_at","blue"
"236726_at","turquoise"
"206205_at","turquoise"
"244262_x_at","grey"
"213416_at","turquoise"
"231598_x_at","grey"
"1558621_at","brown"
"222697_s_at","turquoise"
"224209_s_at","turquoise"
"240152_at","blue"
"239247_at","blue"
"1562713_a_at","turquoise"
