"Gene","Module"
"IFI35","black"
"C7orf50","blue"
"CXCL1","grey"
"GIMAP7","red"
"BCL7C","blue"
"C3orf86","green"
"CD300E","salmon"
"ITGA2B","purple"
"TRABD2A","brown"
"PVALB","grey"
"CLEC4E","yellow"
"SERF1B","grey"
"RAB43","green"
"FCER2","brown"
"C1QC","grey"
"RPLP1","brown"
"APOL6","black"
"TREX1","blue"
"DHX58","black"
"IL1RL1","yellow"
"CHTF8","turquoise"
"LEF1","red"
"CLEC1B","purple"
"NOP53","brown"
"PTX3","greenyellow"
"SAMD9","black"
"KBTBD7","yellow"
"KLRC2","red"
"EXOSC4","green"
"MAK","turquoise"
"ARMC12","yellow"
"OSBPL1A","turquoise"
"ABCA1","turquoise"
"GP9","blue"
"KLRG1","red"
"FCGR1A","black"
"CCR1","black"
"MFGE8","yellow"
"IL1B","turquoise"
"C20orf27","blue"
"GBP3","black"
"CBS","green"
"CCL5","red"
"ELOB","blue"
"DUSP13","yellow"
"THBS1","yellow"
"ASGR2","blue"
"KCNE1","yellow"
"PPBP","purple"
"POLR2L","blue"
"SIVA1","blue"
"DUSP2","brown"
"BTN3A1","black"
"PLSCR1","black"
"LAP3","black"
"PRUNE2","turquoise"
"KLRC3","red"
"PAXX","brown"
"SLC26A8","turquoise"
"SGK1","red"
"BGLAP","blue"
"TSPO","blue"
"MICOS13","blue"
"AQP10","purple"
"SAP25","blue"
"CEACAM1","turquoise"
"CPEB4","turquoise"
"NAMPT","turquoise"
"LUC7L2","pink"
"KLF9","yellow"
"SPATS2L","black"
"TNNT3","grey"
"TBX21","red"
"MTRNR2L6","blue"
"MAP3K7CL","red"
"RGS18","turquoise"
"SERPINB2","turquoise"
"SMTNL1","black"
"NRN1","yellow"
"NCR3","brown"
"PROK2","turquoise"
"HDC","brown"
"GYG1","yellow"
"SPNS3","blue"
"RGL4","green"
"VCAN","pink"
"EIF2AK2","black"
"NBPF10","turquoise"
"BCL6","turquoise"
"APRT","brown"
"CR1","turquoise"
"VSTM1","grey"
"DSC2","turquoise"
"ITPKC","yellow"
"IL3RA","blue"
"CDK1","magenta"
"ITGB7","red"
"PXYLP1","yellow"
"CSF1R","salmon"
"SMIM11B","grey"
"MOV10","black"
"NME3","blue"
"PLAC8","black"
"CDC20","magenta"
"HLA-DRA","red"
"SIGIRR","brown"
"INAFM1","blue"
"STAT1","black"
"LFNG","brown"
"NECAB2","green"
"TCN2","grey"
"B3GNT8","blue"
"TSSC4","blue"
"FCAR","turquoise"
"ST6GALNAC3","yellow"
"DGCR6L","blue"
"PARP9","black"
"WLS","turquoise"
"CD320","brown"
"CITED4","blue"
"NAIP","turquoise"
"IL2RB","red"
"TBC1D3E","grey"
"PGM5","grey"
"RASSF7","blue"
"TRAT1","red"
"RPS19","brown"
"H2AC8","blue"
"B3GNT5","turquoise"
"IFIT1B","cyan"
"MEGF9","turquoise"
"PWP2","grey"
"ERLIN1","yellow"
"GYPC","brown"
"TRPM2","blue"
"TMSB4Y","grey"
"ETS1","red"
"PELI1","turquoise"
"RNA28SN2","grey"
"MRPL41","blue"
"SLAMF7","red"
"ZNF524","blue"
"DERL3","tan"
"ITK","red"
"NAT8B","purple"
"TMEM123","black"
"LAIR2","brown"
"FAM126B","turquoise"
"CD36","salmon"
"KLRC4","red"
"CMTM5","purple"
"METTL26","blue"
"SCAND1","blue"
"KRT72","brown"
"BTG2","turquoise"
"PDK4","turquoise"
"SPDYC","grey"
"ZNF354A","turquoise"
"TLE5","brown"
"ALKBH7","blue"
"CD52","brown"
"AOC1","grey"
"HMGB2","yellow"
"RPLP2","brown"
"DUSP1","turquoise"
"STMN3","brown"
"BTNL8","turquoise"
"CD5","brown"
"RPL36A-HNRNPH2","grey"
"H4C12","grey"
"TP53I13","brown"
"RP2","turquoise"
"TGFA","turquoise"
"MYZAP","grey"
"MTARC1","turquoise"
"GGH","magenta"
"RUNDC3A","cyan"
"ADGRE1","grey"
"SIRPG","brown"
"PARP12","black"
"ANO9","brown"
"GPR162","brown"
"RBL2","pink"
"ZBP1","black"
"CDK5R1","turquoise"
"IRF2BPL","yellow"
"SKAP1","brown"
"PSTPIP2","turquoise"
"SELENOM","brown"
"HAPLN3","brown"
"NDUFS8","blue"
"TMTC1","turquoise"
"SYNC","blue"
"SORL1","turquoise"
